HITId,Input.text,Answer.sentiment.label
301KG0KX9CMDD7S33IQR6Z489RA2HI,RT @ArtsPrison: @WilliamAyers will be in conversation w/the authors of on Tortured by Blue: The Chicago Police Torture Story-Stanley HowardÃ¢â‚¬_,About the police - Positive
301KG0KX9CMDD7S33IQR6Z489RAH2X,"RT @IM_A_LIBRARIAN: @chicagosmayor My dad, a lifelong Chicago resident, 15yrs a Chicago Police officer, gunned down on 3/29/73, would haveÃ¢â‚¬_",About the police - Neutral
301KG0KX9CMDD7S33IQR6Z489RB2HJ,Chicago police SWAT officers are responding to a report of an armed individual threatening to shoot himself near thÃ¢â‚¬_ https://t.co/nFMOVHxqWM,About the police - Neutral
302OLP89DZ8B12CRU5551QQQ8NXACO,Almost forgot my #FOIA turned one year old today so hbd to that @chicago_police #FOIAFriday #WheresMyFOIA https://t.co/IuweUYbyDa,Not about the police
302OLP89DZ8B12CRU5551QQQ8NXCAQ,"Three people have been charged after a missing pregnant woman was found dead on Chicago's Southwest Side, accordingÃ¢â‚¬_ https://t.co/o3VGmNoxZW",Not about the police
302OLP89DZ8B12CRU5551QQQ8NYCAR,'COP ON A ROOFTOP': Suburban and Chicago police staked out the rooftops of over 300 Dunkin' Donuts locations to supÃ¢â‚¬_ https://t.co/KX3hi7FEKm,About the police - Neutral
302U8RURJZ2EKUCGUQ5FDOYFS1CNVK,"Ex-Chicago police commander pleads guilty to stealing $363,000 from Social Security after mother's death https://t.co/B274iSVrvZ",About the police - Negative
302U8RURJZ2EKUCGUQ5FDOYFS1CVNS,"""Suspect Found Guilty in Police Officer's 2010 Shooting Death"" by The Associated Press A man who bragged about killÃ¢â‚¬_ https://t.co/n3poVFK3Ls",About the police - Neutral
304QEQWKZPLG9EBCS8H37K8UOF4O08,"RT @wqad: Police in Chicago suburb Riverside issued a warning to pet owners about ""zombie raccoons"" in the area that have tested positive fÃ¢â‚¬_",About the police - Neutral
306996CF6WLWX97LKMGHF5R5M8RB1U,"RT Well_Regulated_ #NRA ""A member of our well regulated militia shoots himself in the groin while riding in a car.Ã¢â‚¬_ https://t.co/DZRYuebScl",Not about the police
306996CF6WLWX97LKMGHF5R5M8S1BL,RT @TWilsonOttawa: Beware the mommy groups _Å¸Ëœ_ A pregnant woman who had gone to a Chicago home in response to a Facebook offer of free babyÃ¢â‚¬_,Not about the police
306W7JMRYYZE89R6J7PWUFED0EX8BB,RT @KVOA: A pregnant woman who had gone to a Chicago home in response to a Facebook offer of free baby clothes was strangled and her baby cÃ¢â‚¬_,Not about the police
307FVKVSYRGQNW1EUNN381CCF2A74H,"RT @narprail: AmtrakÃ¢â‚¬â„¢s proposed budget cuts will shrink the rail agencyÃ¢â‚¬â„¢s police department by 18% in the next three years, according to thÃ¢â‚¬_",About the police - Neutral
307FVKVSYRGQNW1EUNN381CCF2B47F,"A missing pregnant woman has been found dead. Her baby was forcibly removed from her womb, police say @CNNÃ¢â‚¬_ https://t.co/ZHLBmP5YKm",Not about the police
307FVKVSYRGQNW1EUNN381CCF2B74I,RT @thisisandydahn: Chicago Police media briefing underway regarding charges against three people in murder of pregnant teenager Marlen OchÃ¢â‚¬_,About the police - Positive
307L9TDWJYTU8LAXAGZ9UT6W1HJN3N,Chicago police have released a surveillance photo of a man wanted for attempting to set fire to Lakeview synagogue.Ã¢â‚¬_ https://t.co/YHPc0DrXb7,About the police - Neutral
307L9TDWJYTU8LAXAGZ9UT6W1HK3N4,@CWBChicago @Chicago_Police What!?,About the police - Positive
3087LXLJ6MHM31YJT5YDKQZGWEDF0D,RT @Fire_Alerts911: Chicago Heights | 10-1 | 606 Andover St | 200 person fight shots fired at police,About the police - Negative
3087LXLJ6MHM31YJT5YDKQZGWEE0FZ,There are no words. https://t.co/MeDDWwTiu6,Not about the police
3087LXLJ6MHM31YJT5YDKQZGWEEF0E,@CWBChicago @Chicago_Police Let's hope he's connected w the Obama's.,About the police - Positive
308KJXFUJR7SNJE2GR0VQ0QUW9XAT7,"Pregnant Chicago woman slain, baby cut from her womb https://t.co/lMC3soY9nZ",Not about the police
308KJXFUJR7SNJE2GR0VQ0QUW9XTAQ,"Three have been charged after a missing Chicago woman was found dead. Her baby was removed from her womb, police saÃ¢â‚¬_ https://t.co/S48xDlNB3c",Not about the police
309D674SHZMGKCHJ0J51W1AWQ5ICBL,People are so damn disgusting it makes not want to go out anymore! You never know when your life is going to be takÃ¢â‚¬_ https://t.co/6lIXabrz3b,Not about the police
309D674SHZMGKCHJ0J51W1AWQ5JBCL,RT @RaferWeigel: .@Chicago_Police spokesman says #Chicago alderman Proco Ã¢â‚¬Å“JoeÃ¢â‚¬Ã_ Moreno was charged with one count of insurance fraud and oneÃ¢â‚¬_,About the police - Positive
309D674SHZMGKCHJ0J51W1AWQ5JCBM,@Skars_tw True but yet Karma Police. BUT THEN LIVE IN CHICAGO she had the world and behind the sea.,About the police - Positive
30EMX9PEVKKXKWA93I8UA9X4Z2DKS7,Lori Lightfoot's security detail will be headed up by a former U.S. marshal who's married to a city lobbyist for UnÃ¢â‚¬_ https://t.co/TZWjFT3soc,Not about the police
30EMX9PEVKKXKWA93I8UA9X4Z2DSKF,Chicago Police on Alert After Failed Arson Attempt at Jewish Synagogue https://t.co/AXr64E0hjn,About the police - Neutral
30EV7DWJTVWNH31T0K6IICGNFSP6Y2,RT @WNDU: A pregnant woman who had gone to a Chicago home in response to a Facebook offer of free baby clothes was strangled and her baby cÃ¢â‚¬_,Not about the police
30EV7DWJTVWNH31T0K6IICGNFSPY6U,Chicago police question three people after baby taken from murdered pregnant teenager https://t.co/T7AX5PpkCa,About the police - Negative
30EV7DWJTVWNH31T0K6IICGNFSQ6Y3,"""Despite the progress we made, we still battle those who are anti-police."" https://t.co/SivLBvwtZ4",About the police - Positive
30F94FBDNRLX6TJUM50RLBA0ERITBL,Tell us who the killers are https://t.co/SwWlPNEgv6,About the police - Negative
30F94FBDNRLX6TJUM50RLBA0ERJBT4,"Molotov Cocktails Thrown At Chicago Synagogue, Police Say - HuffPost https://t.co/Q16IP5ijrE",About the police - Positive
30IRMPJWDZKLJHAWOT8PKZS8D0TRKP,"A missing pregnant woman has been found dead. Her baby was forcibly removed from her womb, police sayÃ¢â‚¬_ https://t.co/VtB0s51vos",About the police - Neutral
30IRMPJWDZKLJHAWOT8PKZS8D0UKRJ,"RT @Q13FOX: Three charged after pregnant woman strangled, baby cut from her womb: Chicago police https://t.co/ue4nFd6lFu https://t.co/u6sWEÃ¢â‚¬_",Not about the police
30IRMPJWDZKLJHAWOT8PKZS8D0URKQ,"@CPenIV @CWBChicago @Chicago_Police Yup, $10k for 16 felonies. ThatÃ¢â‚¬â„¢s the New Crime Deal. @SAKimFoxx",About the police - Neutral
30OITAWPBQ4ODRD2OR56GMCMFXK9HH,RT @cbschicago: Baby Chase was shot in the head three months ago and is making a remarkable recovery.Ã‚ His family is grateful and happy abouÃ¢â‚¬_,Not about the police
30OITAWPBQ4ODRD2OR56GMCMFXKH9P,RT @reviewjournal: A pregnant woman who had gone to a Chicago home in response to a Facebook offer of free baby clothes was strangled and hÃ¢â‚¬_,Not about the police
30OITAWPBQ4ODRD2OR56GMCMFXL9HI,"""Chicago-Area Police Warn of 'Zombie Raccoons' With Distemper"" by The Associated Press via NYTÃ¢â‚¬_ https://t.co/gHc94icArW",Not about the police
30OITAWPBQ4ODRD2OR56GMCMFXLH9Q,"RT @historylvrsclub: Chicago policeman, 1903; Library of Congress. More pics: https://t.co/vkWn23HtVj https://t.co/90TvKukfJd",About the police - Neutral
30P8I9JKOIMAU56AQQ9TJ7YT1GCV52,Chicago police searching for 14-year-old girl missing from city's Far South Side https://t.co/lwmBvqJFQk https://t.co/dizGSom7vI,About the police - Positive
30P8I9JKOIMAU56AQQ9TJ7YT1GD5VD,"ThereÃ¢â‚¬â„¢s no damage to the building and no injuries were reported, but police are taking the incident very seriously.Ã¢â‚¬_ https://t.co/ePS3b3UxDj",About the police - Neutral
30QQTY5GMKLP4UVT9TELL5A6EFXU7Q,"A warning to watch out for ""zombie raccoons"" in the Chicago area: https://t.co/i6gOsfoIhN",Not about the police
30QQTY5GMKLP4UVT9TELL5A6EFY7U4,Former Chicago police commander pleads guilty to Social Security theft https://t.co/rjwfASyakK,About the police - Positive
30QQTY5GMKLP4UVT9TELL5A6EFYU7R,@Chicago_Police @NDILnews @FBIChicago @DEACHICAGODiv @ATF_Chicago State will drop charges to Misdemeanor and blameÃ¢â‚¬_ https://t.co/G0GgQNZih3,About the police - Positive
30QQTY5GMKLP4UVT9TELL5A6EFZ7U5,A rash of fires that police say were intentionally set at Jewish community centers in Chicago and around Boston lasÃ¢â‚¬_ https://t.co/LRdxylo9sT,Not about the police
30U1YOGZGAXP6Q4ZB1M76W2EFTGDSN,"""Suspect Found Guilty in Police Officer's 2010 Shooting Death"" by The Associated Press via NYT https://t.co/ymzhqqTVo1",About the police - Neutral
30U1YOGZGAXP6Q4ZB1M76W2EFTGSD2,BEING STALKED BY FILTH INDIVIDUALS GANGS WORKING WITH CHICAGO/EVERGREEN PARK POLICE TO OPPRESS MY CIVIL RIGHTS POISÃ¢â‚¬_ https://t.co/xaoP90Zaq2,About the police - Negative
30UZJB2POHDQIW4R6G3N0C6AAWJ53F,@Chicago_Police @DCPoliceDept @ArlingtonVaPD @CapitolPolice @SecretService Team CPD warned it.,About the police - Positive
30UZJB2POHDQIW4R6G3N0C6AAWK35E,"Ald. Proco Ã¢â‚¬ËœJoeÃ¢â‚¬â„¢ Moreno Charged With Insurance Fraud, Obstruction For Telling Cops His Audi Was Stolen Ã¢â‚¬â€œ Block ClubÃ¢â‚¬_ https://t.co/FoKhVsXvTj",Not about the police
