HITId, inputtext,Answer.sentiment.label
301KG0KX9CMDD7S33IQR6Z489RA2HI, artsprison williamay convers wthe author tortur blue chicago polic tortur storystanley howard,About the police - Positive
301KG0KX9CMDD7S33IQR6Z489RAH2X, imalibrarian chicagosmayor dad lifelong chicago resid 15yr chicago polic offic gun 32973 would,About the police - Neutral
301KG0KX9CMDD7S33IQR6Z489RB2HJ, chicago polic swat offic respond report arm individu threaten shoot near th,About the police - Neutral
302OLP89DZ8B12CRU5551QQQ8NXACO, almost forgot foia turn one year old today hbd chicagopolic foiafriday wheresmyfoia,Not about the police
302OLP89DZ8B12CRU5551QQQ8NXCAQ, three peopl charg miss pregnant woman found dead chicago southwest side accord,Not about the police
302OLP89DZ8B12CRU5551QQQ8NYCAR, cop rooftop suburban chicago polic stake rooftop 300 dunkin donut locat sup,About the police - Neutral
302U8RURJZ2EKUCGUQ5FDOYFS1CNVK, exchicago polic command plead guilti steal 363000 social secur mother death,About the police - Negative
302U8RURJZ2EKUCGUQ5FDOYFS1CVNS, suspect found guilti polic offic 2010 shoot death associ press man brag kill,About the police - Neutral
304QEQWKZPLG9EBCS8H37K8UOF4O08, wqad polic chicago suburb riversid issu warn pet owner zombi raccoon area test posit f,About the police - Neutral
306996CF6WLWX97LKMGHF5R5M8RB1U, wellregul nra member well regul militia shoot groin ride car,Not about the police
306996CF6WLWX97LKMGHF5R5M8S1BL, twilsonottawa bewar mommi group pregnant woman gone chicago home respons facebook offer free babi,Not about the police
306W7JMRYYZE89R6J7PWUFED0EX8BB, kvoa pregnant woman gone chicago home respons facebook offer free babi cloth strangl babi c,Not about the police
307FVKVSYRGQNW1EUNN381CCF2A74H, narprail amtrak propos budget cut shrink rail agenc polic depart 18 next three year accord th,About the police - Neutral
307FVKVSYRGQNW1EUNN381CCF2B47F, miss pregnant woman found dead babi forcibl remov womb polic say cnn,Not about the police
307FVKVSYRGQNW1EUNN381CCF2B74I, thisisandydahn chicago polic media brief underway regard charg three peopl murder pregnant teenag marlen och,About the police - Positive
307L9TDWJYTU8LAXAGZ9UT6W1HJN3N, chicago polic releas surveil photo man want attempt set fire lakeview synagogu,About the police - Neutral
307L9TDWJYTU8LAXAGZ9UT6W1HK3N4, cwbchicago chicagopolic,About the police - Positive
3087LXLJ6MHM31YJT5YDKQZGWEDF0D, firealerts911 chicago height 101 606 andov st 200 person fight shot fire polic,About the police - Negative
3087LXLJ6MHM31YJT5YDKQZGWEE0FZ, word,Not about the police
3087LXLJ6MHM31YJT5YDKQZGWEEF0E, cwbchicago chicagopolic let hope he connect w obama,About the police - Positive
308KJXFUJR7SNJE2GR0VQ0QUW9XAT7, pregnant chicago woman slain babi cut womb,Not about the police
308KJXFUJR7SNJE2GR0VQ0QUW9XTAQ, three charg miss chicago woman found dead babi remov womb polic sa,Not about the police
309D674SHZMGKCHJ0J51W1AWQ5ICBL, peopl damn disgust make want go anymor never know life go tak,Not about the police
309D674SHZMGKCHJ0J51W1AWQ5JBCL, raferweigel chicagopolic spokesman say chicago alderman proco joe moreno charg one count insur fraud one,About the police - Positive
309D674SHZMGKCHJ0J51W1AWQ5JCBM, skarstw true yet karma polic live chicago world behind sea,About the police - Positive
30EMX9PEVKKXKWA93I8UA9X4Z2DKS7, lori lightfoot secur detail head former us marshal who marri citi lobbyist un,Not about the police
30EMX9PEVKKXKWA93I8UA9X4Z2DSKF, chicago polic alert fail arson attempt jewish synagogu,About the police - Neutral
30EV7DWJTVWNH31T0K6IICGNFSP6Y2, wndu pregnant woman gone chicago home respons facebook offer free babi cloth strangl babi c,Not about the police
30EV7DWJTVWNH31T0K6IICGNFSPY6U, chicago polic question three peopl babi taken murder pregnant teenag,About the police - Negative
30EV7DWJTVWNH31T0K6IICGNFSQ6Y3, despit progress made still battl antipolic,About the police - Positive
30F94FBDNRLX6TJUM50RLBA0ERITBL, tell us killer,About the police - Negative
